Date,Load_Power(kW)
12/10/2023,6.566666667
12/11/2023,7.041666667
12/12/2023,6.9875
12/13/2023,7.179166667
12/14/2023,6.841666667
12/15/2023,6.970833333
12/16/2023,6.766666667
12/17/2023,6.691666667
12/18/2023,6.925
12/19/2023,6.745833333
12/20/2023,6.7125
12/21/2023,6.595833333
12/22/2023,6.466666667
12/23/2023,6.179166667
12/24/2023,6.066666667
12/25/2023,6.208333333
12/26/2023,6.1
12/27/2023,6.2125
12/28/2023,6.25
12/29/2023,6.116666667
12/30/2023,6.1125
12/31/2023,6.008333333
1/1/2024,6.133333333
1/2/2024,6.4125
1/3/2024,6.7375
1/4/2024,6.8375
1/5/2024,7.0875
1/6/2024,6.845833333
1/7/2024,7.191666667
1/8/2024,7.858333333
1/9/2024,7.808333333
1/10/2024,7.916666667
1/11/2024,8.004166667
1/12/2024,7.979166667
1/13/2024,7.691666667
1/14/2024,7.416666667
1/15/2024,7.9625
1/16/2024,7.991666667
1/17/2024,8.166666667
1/18/2024,8.266666667
1/19/2024,8.133333333
1/20/2024,7.783333333
1/21/2024,7.720833333
1/22/2024,8.208333333
1/23/2024,8.316666667
1/24/2024,8.033333333
1/25/2024,8.233333333
1/26/2024,8.2375
1/27/2024,8.354166667
1/28/2024,8.104166667
1/29/2024,8.4625
1/30/2024,8.479166667
1/31/2024,8.054166667
2/1/2024,8.479166667
2/2/2024,8.408333333
2/3/2024,7.6
2/4/2024,7.270833333
2/5/2024,8.054166667
2/6/2024,8.175
2/7/2024,8.55
2/8/2024,8.479166667
2/9/2024,8.408333333
2/10/2024,7.6
2/11/2024,7.270833333
2/12/2024,8.054166667
2/13/2024,8.05
2/14/2024,8.391666667
2/15/2024,8.229166667
2/16/2024,8.4
2/17/2024,7.9875
2/18/2024,7.458333333
2/19/2024,8.720833333
2/20/2024,8.983333333
2/21/2024,8.391666667
2/22/2024,8.229166667
2/23/2024,8.4
2/24/2024,7.9875
2/25/2024,7.458333333
2/26/2024,8.720833333
2/27/2024,8.983333333
2/28/2024,8.391666667
2/29/2024,8.229166667
3/1/2024,6.133333333
3/2/2024,6.4125
3/3/2024,6.7375
3/4/2024,6.8375
3/5/2024,7.0875
3/6/2024,6.845833333
3/7/2024,7.191666667
3/8/2024,7.858333333
3/9/2024,7.808333333
3/10/2024,7.916666667
3/11/2024,8.004166667
3/12/2024,7.979166667
3/13/2024,7.691666667
3/14/2024,7.416666667
3/15/2024,7.9625
3/16/2024,7.991666667
3/17/2024,8.166666667
3/18/2024,8.266666667
3/19/2024,8.133333333
3/20/2024,7.783333333
3/21/2024,7.720833333
3/22/2024,8.208333333
3/23/2024,8.316666667
3/24/2024,8.033333333
3/25/2024,8.233333333
3/26/2024,8.2375
3/27/2024,8.354166667
3/28/2024,8.104166667
3/29/2024,8.4625
3/30/2024,8.479166667
3/31/2024,7.270833333
4/1/2024,6.133333333
4/2/2024,6.4125
4/3/2024,6.7375
4/4/2024,6.8375
4/5/2024,7.0875
4/6/2024,6.845833333
4/7/2024,7.191666667
4/8/2024,7.858333333
4/9/2024,7.808333333
4/10/2024,7.916666667
4/11/2024,8.004166667
4/12/2024,7.979166667
4/13/2024,7.691666667
4/14/2024,7.416666667
4/15/2024,7.9625
4/16/2024,7.991666667
4/17/2024,8.166666667
4/18/2024,8.266666667
4/19/2024,8.133333333
4/20/2024,7.783333333
4/21/2024,7.720833333
4/22/2024,8.208333333
4/23/2024,8.316666667
4/24/2024,8.033333333
4/25/2024,8.233333333
4/26/2024,8.2375
4/27/2024,8.354166667
4/28/2024,8.104166667
4/29/2024,8.4625
4/30/2024,8.479166667
